"Series";"Time";"Value"
"CPU0";"2019-08-27T01:34:00";77
"CPU0";"2019-08-27T01:36:00";78
"CPU0";"2019-08-27T01:36:00";79
"CPU0";"2019-08-27T01:38:00";78
"CPU0";"2019-08-27T01:40:00";79
"CPU0";"2019-08-27T01:40:00";77
"CPU0";"2019-08-27T01:42:00";77
"CPU0";"2019-08-27T01:42:00";78
"CPU0";"2019-08-27T01:44:00";78
"CPU0";"2019-08-27T01:46:00";78
"CPU0";"2019-08-27T01:46:00";77
"CPU0";"2019-08-27T01:48:00";77
"CPU0";"2019-08-27T01:48:00";78
"CPU0";"2019-08-27T01:50:00";77
"CPU0";"2019-08-27T01:50:00";78
"CPU0";"2019-08-27T01:52:00";78
"CPU0";"2019-08-27T01:52:00";79
"CPU0";"2019-08-27T01:54:00";77
"CPU0";"2019-08-27T01:54:00";78
"CPU0";"2019-08-27T01:56:00";77
"CPU0";"2019-08-27T01:58:00";77
"CPU0";"2019-08-27T02:00:00";79
"CPU0";"2019-08-27T02:00:00";78
"CPU0";"2019-08-27T02:02:00";78
"CPU0";"2019-08-27T02:04:00";78
"CPU0";"2019-08-27T02:04:00";77
"CPU0";"2019-08-27T02:06:00";77
"CPU0";"2019-08-27T02:08:00";78
"CPU0";"2019-08-27T02:10:00";78
"CPU0";"2019-08-27T02:10:00";77
"CPU0";"2019-08-27T02:12:00";78
"CPU0";"2019-08-27T02:12:00";79
"CPU0";"2019-08-27T02:14:00";77
"CPU0";"2019-08-27T02:16:00";78
"CPU0";"2019-08-27T02:18:00";78
"CPU0";"2019-08-27T02:20:00";78
"CPU0";"2019-08-27T02:22:00";78
"CPU0";"2019-08-27T02:22:00";77
"CPU0";"2019-08-27T02:24:00";79
"CPU0";"2019-08-27T02:24:00";78
"CPU0";"2019-08-27T02:26:00";78
"CPU0";"2019-08-27T02:28:00";77
"CPU0";"2019-08-27T02:28:00";79
"CPU0";"2019-08-27T02:30:00";77
"CPU0";"2019-08-27T02:32:00";78
"CPU0";"2019-08-27T02:32:00";77
"CPU0";"2019-08-27T02:34:00";77
"CPU0";"2019-08-27T02:34:00";78
"CPU0";"2019-08-27T02:36:00";78
"CPU0";"2019-08-27T02:36:00";79
"CPU0";"2019-08-27T02:38:00";77
"CPU0";"2019-08-27T02:38:00";78
"CPU0";"2019-08-27T02:40:00";79
"CPU0";"2019-08-27T02:40:00";77
"CPU0";"2019-08-27T02:42:00";78
"CPU0";"2019-08-27T02:42:00";79
"CPU0";"2019-08-27T02:44:00";77
"CPU0";"2019-08-27T02:44:00";78
"CPU0";"2019-08-27T02:46:00";77
"CPU0";"2019-08-27T02:46:00";78
"CPU0";"2019-08-27T02:48:00";79
"CPU0";"2019-08-27T02:48:00";78
"CPU0";"2019-08-27T02:50:00";77
"CPU0";"2019-08-27T02:50:00";78
"CPU0";"2019-08-27T02:52:00";78
"CPU0";"2019-08-27T02:52:00";79
"CPU0";"2019-08-27T02:54:00";77
"CPU0";"2019-08-27T02:54:00";79
"CPU0";"2019-08-27T02:56:00";79
"CPU0";"2019-08-27T02:58:00";78
"CPU0";"2019-08-27T03:00:00";78
"CPU0";"2019-08-27T03:02:00";77
"CPU0";"2019-08-27T03:02:00";79
"CPU0";"2019-08-27T03:04:00";77
"CPU0";"2019-08-27T03:04:00";79
"CPU0";"2019-08-27T03:06:00";77
"CPU0";"2019-08-27T03:06:00";78
"CPU0";"2019-08-27T03:08:00";78
"CPU0";"2019-08-27T03:10:00";77
"CPU0";"2019-08-27T03:12:00";77
"CPU0";"2019-08-27T03:12:00";78
"CPU0";"2019-08-27T03:14:00";78
"CPU0";"2019-08-27T03:14:00";77
"CPU0";"2019-08-27T03:16:00";79
"CPU0";"2019-08-27T03:16:00";77
"CPU0";"2019-08-27T03:18:00";78
"CPU0";"2019-08-27T03:20:00";78
"CPU0";"2019-08-27T03:20:00";77
"CPU0";"2019-08-27T03:22:00";78
"CPU0";"2019-08-27T03:24:00";79
"CPU0";"2019-08-27T03:24:00";77
"CPU0";"2019-08-27T03:26:00";77
"CPU0";"2019-08-27T03:26:00";78
"CPU0";"2019-08-27T03:28:00";79
"CPU0";"2019-08-27T03:30:00";78
"CPU0";"2019-08-27T03:32:00";79
"CPU0";"2019-08-27T03:32:00";78
"CPU0";"2019-08-27T03:34:00";78
