"Series";"Time";"Value"
"CPU0";"2020-03-23T00:00:00";79
"CPU0";"2020-03-23T00:00:00";80
"CPU0";"2020-03-23T00:00:00";78
"CPU0";"2020-03-23T00:30:00";78
"CPU0";"2020-03-23T00:30:00";79
"CPU0";"2020-03-23T00:30:00";80
"CPU0";"2020-03-23T01:00:00";77
"CPU0";"2020-03-23T01:00:00";80
"CPU0";"2020-03-23T01:00:00";79
"CPU0";"2020-03-23T01:00:00";78
"CPU0";"2020-03-23T01:30:00";79
"CPU0";"2020-03-23T01:30:00";78
"CPU0";"2020-03-23T01:30:00";77
"CPU0";"2020-03-23T01:30:00";80
"CPU0";"2020-03-23T02:00:00";78
"CPU0";"2020-03-23T02:00:00";79
"CPU0";"2020-03-23T02:00:00";80
"CPU0";"2020-03-23T02:00:00";77
"CPU0";"2020-03-23T02:30:00";79
"CPU0";"2020-03-23T02:30:00";77
"CPU0";"2020-03-23T02:30:00";78
"CPU0";"2020-03-23T03:00:00";78
"CPU0";"2020-03-23T03:00:00";79
"CPU0";"2020-03-23T03:00:00";77
"CPU0";"2020-03-23T03:30:00";79
"CPU0";"2020-03-23T03:30:00";78
"CPU0";"2020-03-23T03:30:00";77
"CPU0";"2020-03-23T04:00:00";78
"CPU0";"2020-03-23T04:00:00";79
"CPU0";"2020-03-23T04:00:00";77
"CPU0";"2020-03-23T04:30:00";78
"CPU0";"2020-03-23T04:30:00";77
"CPU0";"2020-03-23T04:30:00";79
"CPU0";"2020-03-23T05:00:00";77
"CPU0";"2020-03-23T05:00:00";79
"CPU0";"2020-03-23T05:00:00";78
"CPU0";"2020-03-23T05:30:00";78
"CPU0";"2020-03-23T05:30:00";77
"CPU0";"2020-03-23T05:30:00";79
"CPU0";"2020-03-23T05:30:00";76
"CPU0";"2020-03-23T06:00:00";77
"CPU0";"2020-03-23T06:00:00";78
"CPU0";"2020-03-23T06:00:00";79
"CPU0";"2020-03-23T06:30:00";79
"CPU0";"2020-03-23T06:30:00";77
"CPU0";"2020-03-23T06:30:00";78
"CPU0";"2020-03-23T07:00:00";77
"CPU0";"2020-03-23T07:00:00";78
"CPU0";"2020-03-23T07:00:00";79
"CPU0";"2020-03-23T07:30:00";78
"CPU0";"2020-03-23T07:30:00";77
"CPU0";"2020-03-23T07:30:00";79
"CPU0";"2020-03-23T08:00:00";77
"CPU0";"2020-03-23T08:00:00";78
"CPU0";"2020-03-23T08:00:00";79
"CPU0";"2020-03-23T08:30:00";79
"CPU0";"2020-03-23T08:30:00";77
"CPU0";"2020-03-23T08:30:00";78
"CPU0";"2020-03-23T09:00:00";77
"CPU0";"2020-03-23T09:00:00";78
"CPU0";"2020-03-23T09:00:00";79
"CPU0";"2020-03-23T09:30:00";79
"CPU0";"2020-03-23T09:30:00";78
"CPU0";"2020-03-23T09:30:00";77
"CPU0";"2020-03-23T10:00:00";78
"CPU0";"2020-03-23T10:00:00";79
"CPU0";"2020-03-23T10:00:00";77
"CPU0";"2020-03-23T10:30:00";77
"CPU0";"2020-03-23T10:30:00";79
"CPU0";"2020-03-23T10:30:00";78
"CPU0";"2020-03-23T11:00:00";78
"CPU0";"2020-03-23T11:00:00";77
